id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; 
0050 ; FtrKatakatatoy ; clackercart ; ておしぐるま ; 學步推車 ; 学步推车 ; 장난감차 ; chariot de marche ; Spielwagen ; carrito carraca ; macchinina primi passi ; loopwagen ; тележка-каталка
19CD ; BromideNpcNmlMus18 ; Chadder's photo ; チーズのしゃしん ; 起司的照片 ; 起司的照片 ; 치즈의 사진 ; photo de Mozzar ; Foto von Charlie ; foto de Roque ; foto di Gruviero ; foto van Chadder ; фото Чаддера
19CE ; BromideNpcNmlOcp00 ; Octavian's photo ; おくたろうのしゃしん ; 張瑜的照片 ; 张瑜的照片 ; 문복의 사진 ; photo d'Octave ; Foto von Ottfried ; foto de Octavio ; foto di Ottavio ; foto van Octavian ; фото Октавиана
19CF ; BromideNpcNmlOcp01 ; Marina's photo ; タコリーナのしゃしん ; 章立娜的照片 ; 章立娜的照片 ; 문리나의 사진 ; photo de Marina ; Foto von Marianne ; foto de Marina ; foto di Marina ; foto van Marina ; фото Марины
19D0 ; BromideNpcNmlOcp02 ; Zucker's photo ; タコヤのしゃしん ; 章丸丸的照片 ; 章丸丸的照片 ; 탁호의 사진 ; photo de Marvin ; Foto von Ottokar ; foto de Paulino ; foto di Poldo ; foto van Zucker ; фото Цукера
19D1 ; BromideNpcNmlOst00 ; Queenie's photo ; タキュのしゃしん ; 果果的照片 ; 果果的照片 ; 택주의 사진 ; photo de Reine ; Foto von Isabella ; foto de Marujita ; foto di Regina ; foto van Queenie ; фото Квини
19D2 ; BromideNpcNmlOst01 ; Gladys's photo ; ちとせのしゃしん ; 仙仙的照片 ; 仙仙的照片 ; 빅토리아의 사진 ; photo de Gladys ; Foto von Sandra ; foto de Gladis ; foto di Marta ; foto van Gladys ; фото Глэдис
19D3 ; BromideNpcNmlOst02 ; Sandy's photo ; ランのしゃしん ; 小嵐的照片 ; 小岚的照片 ; 샌디의 사진 ; photo d'Ottie ; Foto von Senta ; foto de Priscila ; foto di Alessia ; foto van Sandy ; фото Сэнди
19D4 ; BromideNpcNmlOst03 ; Sprocket's photo ; ヘルツのしゃしん ; 鶴茲的照片 ; 鹤兹的照片 ; 헤르츠의 사진 ; photo de Laflèche ; Foto von Lutz ; foto de Ráfaga ; foto di Frankie ; foto van Sprocket ; фото Спрокета
19D5 ; BromideNpcNmlOst05 ; Julia's photo ; ジュリアのしゃしん ; 朱莉亞的照片 ; 朱莉亚的照片 ; 줄리아의 사진 ; photo de Julie ; Foto von Julia ; foto de Julia ; foto di Giulia ; foto van Julia ; фото Джулии
19D6 ; BromideNpcNmlOst06 ; Cranston's photo ; トキオのしゃしん ; 朱祿的照片 ; 朱禄的照片 ; 타키의 사진 ; photo de Gabin ; Foto von Guido ; foto de Carmelo ; foto di Carmine ; foto van Cranston ; фото Крэнстона
19D7 ; BromideNpcNmlBrd05 ; Piper's photo ; レイコのしゃしん ; 麗婷的照片 ; 丽婷的照片 ; 파이프의 사진 ; photo de Neige ; Foto von Iris ; foto de Bárbara ; foto di Giuliva ; foto van Piper ; фото Пайпер
19D8 ; BromideNpcNmlOst07 ; Phil's photo ; ケインのしゃしん ; 凱恩的照片 ; 凯恩的照片 ; 케인의 사진 ; photo de Phil ; Foto von Ingo ; foto de Amalio ; foto di Enzo ; foto van Phil ; фото Фила
19D9 ; BromideNpcNmlOst08 ; Blanche's photo ; しのぶのしゃしん ; 小偲的照片 ; 小偲的照片 ; 신옥의 사진 ; photo de Sophie ; Foto von Christa ; foto de Rocío ; foto di Emilia ; foto van Blanche ; фото Бланш
19DA ; BromideNpcNmlOst09 ; Flora's photo ; フララのしゃしん ; 胡拉拉的照片 ; 胡拉拉的照片 ; 플라라의 사진 ; photo de Justine ; Foto von Flora ; foto de Azucena ; foto di Rosalba ; foto van Flora ; фото Флоры
19DB ; BromideNpcNmlOst10 ; Phoebe's photo ; ヒノコのしゃしん ; 火鳥的照片 ; 火鸟的照片 ; 휘니의 사진 ; photo de Faustine ; Foto von Philippa ; foto de Avelina ; foto di Fenicia ; foto van Phoebe ; фото Фиби
19DC ; BromideNpcNmlPbr00 ; Apollo's photo ; アポロのしゃしん ; 阿波羅的照片 ; 阿波罗的照片 ; 아폴로의 사진 ; photo d'Apollon ; Foto von Apollo ; foto de Apolo ; foto di Apollo ; foto van Apollo ; фото Аполло
19DD ; BromideNpcNmlPbr01 ; Amelia's photo ; アンデスのしゃしん ; 安地斯的照片 ; 安地斯的照片 ; 안데스의 사진 ; photo d'Aurélie ; Foto von Adelheid ; foto de Amelia ; foto di Amelia ; foto van Amelia ; фото Амелии
19DE ; BromideNpcNmlPbr02 ; Pierce's photo ; セバスチャンのしゃしん ; 謝博強的照片 ; 谢博强的照片 ; 세바스찬의 사진 ; photo de Napoléon ; Foto von Adrian ; foto de Hugo ; foto di Attilio ; foto van Pierce ; фото Пирса
19DF ; BromideNpcNmlPbr03 ; Buzz's photo ; ひでよしのしゃしん ; 繼光的照片 ; 继光的照片 ; 근엄의 사진 ; photo de Phébus ; Foto von Balduin ; foto de Nabar ; foto di Golia ; foto van Buzz ; фото Базза
19E0 ; BromideNpcNmlPbr05 ; Avery's photo ; クスケチャのしゃしん ; 安谷斯的照片 ; 安谷斯的照片 ; 쿠스케처의 사진 ; photo de Faust ; Foto von Quetzal ; foto de Cuzco ; foto di Falco ; foto van Avery ; фото Авери
19E1 ; BromideNpcNmlPbr06 ; Frank's photo ; ハルクのしゃしん ; 浩克的照片 ; 浩克的照片 ; 헐크의 사진 ; photo de Greggae ; Foto von Arthur ; foto de Aquilino ; foto di Frank ; foto van Frank ; фото Франка
19E2 ; BromideNpcNmlBrd06 ; Admiral's photo ; イッテツのしゃしん ; 李徹的照片 ; 李彻的照片 ; 일섭의 사진 ; photo de Maréchal ; Foto von Ansgar ; foto de Avutardo ; foto di Adolfo ; foto van Admiral ; фото Адмирала
19E3 ; BromideNpcNmlPbr07 ; Sterling's photo ; ギンカクのしゃしん ; 銀閣的照片 ; 银阁的照片 ; 은수리의 사진 ; photo de Manfred ; Foto von Horst ; foto de Arni ; foto di Beccodì ; foto van Sterling ; фото Стерлинга
19E4 ; BromideNpcNmlPbr08 ; Keaton's photo ; フランクのしゃしん ; 法蘭克的照片 ; 法兰克的照片 ; 프랭크의 사진 ; photo d'Enzo ; Foto von Kai ; foto de Lucho ; foto di Aquilio ; foto van Keaton ; фото Китона
19E5 ; BromideNpcNmlPbr09 ; Celia's photo ; ティファニーのしゃしん ; 蒂芬妮的照片 ; 蒂芬妮的照片 ; 티파니의 사진 ; photo de Garance ; Foto von Lora ; foto de Jazmín ; foto di Celia ; foto van Celia ; фото Селии
19E6 ; BromideNpcNmlPgn00 ; Aurora's photo ; オーロラのしゃしん ; 歐若拉的照片 ; 欧若拉的照片 ; 오로라의 사진 ; photo d'Aurore ; Foto von Sonja ; foto de Aurora ; foto di Aurora ; foto van Aurora ; фото Авроры
19E7 ; BromideNpcNmlPgn01 ; Roald's photo ; ペンタのしゃしん ; 企鵝達的照片 ; 企鹅达的照片 ; 펭수의 사진 ; photo de Reynald ; Foto von Roland ; foto de Bobi ; foto di Angelino ; foto van Roald ; фото Роальда
19E8 ; BromideNpcNmlPgn02 ; Cube's photo ; ビスのしゃしん ; 羅斯的照片 ; 罗斯的照片 ; 빙수의 사진 ; photo de Cube ; Foto von Cube ; foto de Cube ; foto di Cubetto ; foto van Cube ; фото Кьюба
19E9 ; BromideNpcNmlPgn03 ; Hopper's photo ; ダルマンのしゃしん ; 達滿的照片 ; 达满的照片 ; 달만이의 사진 ; photo de Victor ; Foto von Hauke ; foto de Güiñón ; foto di Pinguaio ; foto van Hopper ; фото Хоппера
19EA ; BromideNpcNmlPgn04 ; Friga's photo ; サブリナのしゃしん ; 謝賓娜的照片 ; 谢宾娜的照片 ; 사브리나의 사진 ; photo de Friga ; Foto von Frieda ; foto de Frida ; foto di Frida ; foto van Friga ; фото Фриги
19EB ; BromideNpcNmlPgn05 ; Gwen's photo ; ポーラのしゃしん ; 寶拉的照片 ; 宝拉的照片 ; 폴라의 사진 ; photo de Gwen ; Foto von Judith ; foto de Fabiola ; foto di Gelinda ; foto van Gwen ; фото Гвен
19EC ; BromideNpcNmlPgn06 ; Puck's photo ; ホッケーのしゃしん ; 哈奇的照片 ; 哈奇的照片 ; 하키의 사진 ; photo d'Hervé ; Foto von Puck ; foto de Fredo ; foto di Glacido ; foto van Puck ; фото Пака
19ED ; BromideNpcNmlBrd08 ; Midge's photo ; うずまきのしゃしん ; 小酒窩的照片 ; 小酒窝的照片 ; 핑글이의 사진 ; photo de Michèle ; Foto von Anna ; foto de Paloma ; foto di Minù ; foto van Midge ; фото Мидж
19EE ; BromideNpcNmlPgn09 ; Wade's photo ; カマボコのしゃしん ; 竹輪的照片 ; 竹轮的照片 ; 호떡의 사진 ; photo de Miglou ; Foto von Staksi ; foto de Petín ; foto di Plinio ; foto van Wade ; фото Уэйда
19EF ; BromideNpcNmlPgn10 ; Boomer's photo ; ショーイのしゃしん ; 秀益的照片 ; 秀益的照片 ; 팽기의 사진 ; photo d'Ethan ; Foto von Max ; foto de Serafino ; foto di Icaro ; foto van Boomer ; фото Бумера
19F0 ; BromideNpcNmlPgn11 ; Iggly's photo ; のりまきのしゃしん ; 花壽司的照片 ; 花寿司的照片 ; 김말이의 사진 ; photo d'Urbain ; Foto von Pingi ; foto de Bobo ; foto di Piccio ; foto van Iggly ; фото Игли
19F1 ; BromideNpcNmlPgn12 ; Tex's photo ; ボルトのしゃしん ; 伏特的照片 ; 伏特的照片 ; 볼트의 사진 ; photo d'Émilien ; Foto von Matze ; foto de Tomeo ; foto di Freddy ; foto van Tex ; фото Текса
19F2 ; BromideNpcNmlPgn13 ; Flo's photo ; レイラのしゃしん ; 蕾拉的照片 ; 蕾拉的照片 ; 레이라의 사진 ; photo de Nora ; Foto von Susanne ; foto de Nieves ; foto di Nives ; foto van Flo ; фото Фло
19F3 ; BromideNpcNmlPgn14 ; Sprinkle's photo ; フラッペのしゃしん ; 冰莎的照片 ; 冰莎的照片 ; 크리미의 사진 ; photo de Laurie ; Foto von Svenja ; foto de Rizolda ; foto di Brina ; foto van Sprinkle ; фото Спринкл
19F4 ; BromideNpcNmlPig00 ; Curly's photo ; ハムカツのしゃしん ; 勝利的照片 ; 胜利的照片 ; 햄까스의 사진 ; photo de Tirbou ; Foto von Oink ; foto de Rufueto ; foto di Ricciolo ; foto van Curly ; фото Керли
19F5 ; BromideNpcNmlPig01 ; Truffles's photo ; トンコのしゃしん ; 嘟嘟的照片 ; 嘟嘟的照片 ; 탱고의 사진 ; photo de Trufa ; Foto von Luzie ; foto de Trufas ; foto di Grufetta ; foto van Truffles ; фото Трафлс
19F6 ; BromideNpcNmlPig02 ; Rasher's photo ; グレオのしゃしん ; 古烈的照片 ; 古烈的照片 ; 글레이의 사진 ; photo de Salami ; Foto von Ede ; foto de Curtis ; foto di Broncio ; foto van Rasher ; фото Рашера
19F7 ; BromideNpcNmlPig03 ; Hugh's photo ; クッチャネのしゃしん ; 阿豬的照片 ; 阿猪的照片 ; 먹고파의 사진 ; photo de Bonno ; Foto von Hugo ; foto de Jacobo ; foto di Jambon ; foto van Hugh ; фото Хью
19F8 ; BromideNpcNmlAnt02 ; Pango's photo ; パトラのしゃしん ; 佩希的照片 ; 佩希的照片 ; 패트라의 사진 ; photo de Mathilda ; Foto von Mathilda ; foto de Aspidora ; foto di Carlotta ; foto van Pango ; фото Панго
19F9 ; BromideNpcNmlBrd11 ; Jacob's photo ; ジャコテンのしゃしん ; 余板的照片 ; 余板的照片 ; 야곱의 사진 ; photo de Jacob ; Foto von Jesko ; foto de Repollo ; foto di Valerio ; foto van Jacob ; фото Джейкоба
19FA ; BromideNpcNmlPig04 ; Lucy's photo ; ルーシーのしゃしん ; 露西的照片 ; 露西的照片 ; 루시의 사진 ; photo de Lucie ; Foto von Larissa ; foto de Aurelia ; foto di Lucy ; foto van Lucy ; фото Люси
19FB ; BromideNpcNmlPig05 ; Spork's photo ; ポークのしゃしん ; 肉肉的照片 ; 肉肉的照片 ; 포크의 사진 ; photo de Justin ; Foto von Schwarte ; foto de Espork ; foto di Cicciolo ; foto van Crackle ; фото Крэкла
19FC ; BromideNpcNmlPig08 ; Cobb's photo ; ハカセのしゃしん ; 博士的照片 ; 博士的照片 ; 박사의 사진 ; photo de Porken ; Foto von Rolo ; foto de Franfuá ; foto di Wurst ; foto van Cobb ; фото Кобба
19FD ; BromideNpcNmlPig09 ; Boris's photo ; ダリーのしゃしん ; 達利的照片 ; 达利的照片 ; 보리의 사진 ; photo de Boris ; Foto von Bolle ; foto de Boris ; foto di Boris ; foto van Boris ; фото Бориса
19FE ; BromideNpcNmlPig10 ; Maggie's photo ; マーガレットのしゃしん ; 瑪格的照片 ; 玛格的照片 ; 마가렛의 사진 ; photo de Marjorie ; Foto von Magda ; foto de Margarí ; foto di Marcella ; foto van Maggie ; фото Мэгги
19FF ; BromideNpcNmlPig11 ; Peggy's photo ; ちえりのしゃしん ; 千惠的照片 ; 千惠的照片 ; 체리의 사진 ; photo de Rose ; Foto von Quiekie ; foto de Peggy ; foto di Sally ; foto van Peggy ; фото Пегги
1A00 ; BromideNpcNmlPig13 ; Gala's photo ; ためこのしゃしん ; 小芽的照片 ; 小芽的照片 ; 꽃지의 사진 ; photo de Camille ; Foto von Oinka ; foto de Marita ; foto di Lisetta ; foto van Gala ; фото Галы
1A01 ; BromideNpcNmlPig14 ; Chops's photo ; トンファンのしゃしん ; 豚皇的照片 ; 豚皇的照片 ; 돈후앙의 사진 ; photo d'Aaron ; Foto von Clemens ; foto de Solomín ; foto di Lino ; foto van Chops ; фото Чопса
1A02 ; BromideNpcNmlPig15 ; Kevin's photo ; イノッチのしゃしん ; 伊比利的照片 ; 伊比利的照片 ; 멧지의 사진 ; photo de Jean-Bon ; Foto von Kevin ; foto de Porcinio ; foto di Kotekiño ; foto van Kevin ; фото Кевина
1A03 ; BromideNpcNmlPig16 ; Pancetti's photo ; ブリトニーのしゃしん ; 布蘭妮的照片 ; 布兰妮的照片 ; 브리트니의 사진 ; photo de Lydie ; Foto von Brigitte ; foto de Talía ; foto di Cicciola ; foto van Pancetti ; фото Панчетти
1A04 ; BromideNpcNmlBrd15 ; Lucha's photo ; マスカラスのしゃしん ; 摔角鴉的照片 ; 摔角鸦的照片 ; 마스카라스의 사진 ; photo de Condor ; Foto von Lukas ; foto de Plumerio ; foto di Loreto ; foto van Lucha ; фото Лучи
1A05 ; BromideNpcNmlPig17 ; Agnes's photo ; アグネスのしゃしん ; 古乃欣的照片 ; 古乃欣的照片 ; 아그네스의 사진 ; photo de Pansy ; Foto von Nora ; foto de Negrea ; foto di Maia ; foto van Agnes ; фото Агнес
1A06 ; BromideNpcNmlRbt00 ; Bunnie's photo ; リリアンのしゃしん ; 莉莉安的照片 ; 莉莉安的照片 ; 릴리안의 사진 ; photo de Clara ; Foto von Mimmi ; foto de Coni ; foto di Bonny ; foto van Bunnie ; фото Банни
1A07 ; BromideNpcNmlRbt01 ; Dotty's photo ; マーサのしゃしん ; 瑪莎的照片 ; 玛莎的照片 ; 서머의 사진 ; photo de Dorothée ; Foto von Doro ; foto de Katia ; foto di Dotty ; foto van Dotty ; фото Дотти
1A08 ; BromideNpcNmlRbt02 ; Coco's photo ; やよいのしゃしん ; 仰韶的照片 ; 仰韶的照片 ; 이요의 사진 ; photo de Coco ; Foto von Koko ; foto de Cocoloca ; foto di Coco ; foto van Coco ; фото Коко
1A09 ; BromideNpcNmlRbt03 ; Snake's photo ; モモチのしゃしん ; 百川的照片 ; 百川的照片 ; 닌토의 사진 ; photo de Jeannot ; Foto von Philip ; foto de Rayo ; foto di Razzo ; foto van Snake ; фото Снейка
1A0A ; BromideNpcNmlRbt04 ; Gaston's photo ; モサキチのしゃしん ; 猛兔的照片 ; 猛兔的照片 ; 대길의 사진 ; photo de Gaston ; Foto von Gaston ; foto de Gastón ; foto di Gaston ; foto van Gaston ; фото Гастона
1A0B ; BromideNpcNmlRbt05 ; Gabi's photo ; ペチカのしゃしん ; 珮琪的照片 ; 珮琪的照片 ; 패티카의 사진 ; photo de Gaby ; Foto von Gabi ; foto de Piluca ; foto di Gabri ; foto van Gabi ; фото Габи
1A0C ; BromideNpcNmlRbt06 ; Pippy's photo ; ロッタのしゃしん ; 羅塔的照片 ; 罗塔的照片 ; 로타의 사진 ; photo de Nadia ; Foto von Lotta ; foto de Méloni ; foto di Pippi ; foto van Pippy ; фото Пиппи
1A0D ; BromideNpcNmlRbt07 ; Tiffany's photo ; バズレーのしゃしん ; 大姐頭的照片 ; 大姐头的照片 ; 바슬레의 사진 ; photo de Tiphaine ; Foto von Michelle ; foto de Tiffany ; foto di Stefania ; foto van Tiffany ; фото Тиффани
1A0E ; BromideNpcNmlRbt08 ; Genji's photo ; ゲンジのしゃしん ; 儒林的照片 ; 儒林的照片 ; 토시의 사진 ; photo de Kali ; Foto von Aki ; foto de Sumo ; foto di Genji ; foto van Genji ; фото Гэндзи
1A0F ; BromideNpcNmlBrd16 ; Jacques's photo ; ジョッキーのしゃしん ; 趙奇的照片 ; 赵奇的照片 ; 쪼끼의 사진 ; photo de Jacky ; Foto von Pierre ; foto de Gorrelmo ; foto di Zampiero ; foto van Jacques ; фото Жака
1A10 ; BromideNpcNmlRbt09 ; Ruby's photo ; ルナのしゃしん ; 月兔的照片 ; 月兔的照片 ; 루나의 사진 ; photo de Rubis ; Foto von Rubina ; foto de Rubí ; foto di Rubina ; foto van Ruby ; фото Руби
1A11 ; BromideNpcNmlRbt10 ; Doc's photo ; トビオのしゃしん ; 阿飛的照片 ; 阿飞的照片 ; 토니의 사진 ; photo de Doc ; Foto von Gustl ; foto de Crispín ; foto di Doc ; foto van Doc ; фото Дока
1A12 ; BromideNpcNmlRbt11 ; Claude's photo ; ビネガーのしゃしん ; 阿醋的照片 ; 阿醋的照片 ; 비니거의 사진 ; photo de Claude ; Foto von Claude ; foto de Pablo ; foto di Claude ; foto van Claude ; фото Клода
1A13 ; BromideNpcNmlRbt12 ; Francine's photo ; フランソワのしゃしん ; 法藍琪的照片 ; 法蓝琪的照片 ; 프랑소와의 사진 ; photo de Nadine ; Foto von Manu ; foto de Natacha ; foto di Franca ; foto van Francine ; фото Франсин
1A14 ; BromideNpcNmlRbt13 ; Chrissy's photo ; クリスチーヌのしゃしん ; 克莉琪的照片 ; 克莉琪的照片 ; 크리스틴의 사진 ; photo de Kristine ; Foto von Anne ; foto de Lali ; foto di Natascha ; foto van Chrissy ; фото Крисси
1A15 ; BromideNpcNmlRbt14 ; Hopkins's photo ; プースケのしゃしん ; 風杰的照片 ; 风杰的照片 ; 홉킨스의 사진 ; photo de Grignote ; Foto von Poldi ; foto de Saltiago ; foto di Azeglio ; foto van Hopkins ; фото Хопкинса
1A16 ; BromideNpcNmlRbt15 ; O'Hare's photo ; サントスのしゃしん ; 桑托斯的照片 ; 桑托斯的照片 ; 산토스의 사진 ; photo de Civet ; Foto von Nico ; foto de Ernesto ; foto di Fritz ; foto van O'Hare ; фото О'Хэара
1A17 ; BromideNpcNmlRbt16 ; Carmen's photo ; チョコのしゃしん ; 巧蔻的照片 ; 巧蔻的照片 ; 초코의 사진 ; photo de Zoé ; Foto von Hilda ; foto de Linda ; foto di Conny ; foto van Carmen ; фото Кармен
1A18 ; BromideNpcNmlRbt17 ; Bonbon's photo ; ミミィのしゃしん ; 妙妙的照片 ; 妙妙的照片 ; 미미의 사진 ; photo de Sylvette ; Foto von Henrike ; foto de Chocolat ; foto di Lolly ; foto van Bonbon ; фото Бонбон
1A19 ; BromideNpcNmlRbt18 ; Cole's photo ; アマミンのしゃしん ; 阿甘的照片 ; 阿甘的照片 ; 아마민의 사진 ; photo d'Épicure ; Foto von Karl ; foto de Nicolás ; foto di Lello ; foto van Cole ; фото Коула
1A1A ; BromideNpcNmlBrd17 ; Peck's photo ; ふみたろうのしゃしん ; 文雄的照片 ; 文雄的照片 ; 문대의 사진 ; photo de Pec ; Foto von Picko ; foto de Picuet ; foto di Gheppio ; foto van Peck ; фото Пека
1A1B ; BromideNpcNmlRbt19 ; Mira's photo ; ミラコのしゃしん ; 蜜拉的照片 ; 蜜拉的照片 ; 미랑의 사진 ; photo de Grisette ; Foto von Mira ; foto de Amparo ; foto di Martina ; foto van Mira ; фото Миры
1A1C ; BromideNpcNmlRhn00 ; Tank's photo ; くるぶしのしゃしん ; 阿足的照片 ; 阿足的照片 ; 탱크의 사진 ; photo de Ben ; Foto von Frank ; foto de Aníbal ; foto di Rinaldo ; foto van Tank ; фото Танка
1A1D ; BromideNpcNmlRhn01 ; Rhonda's photo ; ユメコのしゃしん ; 夢夢的照片 ; 梦梦的照片 ; 론다의 사진 ; photo de Renée ; Foto von Regina ; foto de Ronda ; foto di Roby ; foto van Rhonda ; фото Ронды
1A1E ; BromideNpcNmlRhn02 ; Spike's photo ; スクワットのしゃしん ; 阿蹲的照片 ; 阿蹲的照片 ; 스쿼트의 사진 ; photo de Rhino ; Foto von Atze ; foto de Cornio ; foto di Bruto ; foto van Spike ; фото Спайка
1A1F ; BromideNpcNmlRhn04 ; Hornsby's photo ; みつおのしゃしん ; 光雄的照片 ; 光雄的照片 ; 뿌람의 사진 ; photo de Cornio ; Foto von Rüdiger ; foto de Rino ; foto di Rino ; foto van Hornsby ; фото Хорнсби
1A20 ; BromideNpcNmlRhn07 ; Merengue's photo ; パティのしゃしん ; 草莓的照片 ; 草莓的照片 ; 스트로베리의 사진 ; photo de Patty ; Foto von Maria ; foto de Natura ; foto di Irina ; foto van Merengue ; фото Меренг
1A21 ; BromideNpcNmlRhn08 ; Renée's photo ; おさいのしゃしん ; 柴姐的照片 ; 柴姐的照片 ; 뿔님이의 사진 ; photo de Rina ; Foto von Ilona ; foto de Rina ; foto di Renata ; foto van Renée ; фото Рене
1A22 ; BromideNpcNmlShp00 ; Vesta's photo ; メリヤスのしゃしん ; 綿綿的照片 ; 绵绵的照片 ; 메리어스의 사진 ; photo d'Hélaine ; Foto von Dolly ; foto de Vesta ; foto di Lanella ; foto van Vesta ; фото Весты
1A23 ; BromideNpcNmlShp01 ; Baabara's photo ; トロワのしゃしん ; 華爾滋的照片 ; 华尔滋的照片 ; 트로와의 사진 ; photo de Bêêtty ; Foto von Babsi ; foto de Beelén ; foto di Bea ; foto van Baabara ; фото Бабары
1A24 ; BromideNpcNmlShp02 ; Eunice's photo ; モヘアのしゃしん ; 毛海兒的照片 ; 毛海儿的照片 ; 곱슬이의 사진 ; photo de Bérénice ; Foto von Edith ; foto de Lanolina ; foto di Tenerina ; foto van Eunice ; фото Юнис
1A25 ; BromideNpcNmlBrd18 ; Sparro's photo ; ちゅんのすけのしゃしん ; 周之翔的照片 ; 周之翔的照片 ; 춘섭의 사진 ; photo de Darius ; Foto von Nestor ; foto de Jaime ; foto di Piumardo ; foto van Sparro ; фото Спарро
1A26 ; BromideNpcNmlShp03 ; Stella's photo ; アクリルのしゃしん ; 氈氈的照片 ; 毡毡的照片 ; 아크릴의 사진 ; photo de Bigoudi ; Foto von Stella ; foto de Merina ; foto di Merina ; foto van Stella ; фото Стеллы
1A27 ; BromideNpcNmlShp04 ; Cashmere's photo ; ラムールのしゃしん ; 愛睦的照片 ; 爱睦的照片 ; 캐시미어의 사진 ; photo de Cashmir ; Foto von Lana ; foto de Cachemir ; foto di Cashmere ; foto van Cashmere ; фото Кашмир
1A28 ; BromideNpcNmlShp07 ; Willow's photo ; マリーのしゃしん ; 梅麗諾的照片 ; 梅丽诺的照片 ; 마리의 사진 ; photo de Maï ; Foto von Natascha ; foto de Cuqui ; foto di Belinda ; foto van Willow ; фото Уиллоу
1A29 ; BromideNpcNmlShp08 ; Curlos's photo ; カルロスのしゃしん ; 賈洛斯的照片 ; 贾洛斯的照片 ; 카를로스의 사진 ; photo de Tonton ; Foto von Locke ; foto de Carnerio ; foto di Boccolo ; foto van Curlos ; фото Керлоса
1A2A ; BromideNpcNmlShp09 ; Wendy's photo ; みぞれのしゃしん ; 雪花的照片 ; 雪花的照片 ; 눈송이의 사진 ; photo de Karen ; Foto von Wolli ; foto de Franela ; foto di Agnola ; foto van Wendy ; фото Венди
1A2B ; BromideNpcNmlShp10 ; Timbra's photo ; つかさのしゃしん ; 阿司的照片 ; 阿司的照片 ; 잔디의 사진 ; photo de Sélène ; Foto von Tippsi ; foto de Hebra ; foto di Ambra ; foto van Timbra ; фото Тимбры
1A2C ; BromideNpcNmlShp11 ; Frita's photo ; ウェンディのしゃしん ; 溫蒂的照片 ; 温蒂的照片 ; 웬디의 사진 ; photo de Clarabêl ; Foto von Martina ; foto de Ovinia ; foto di Landa ; foto van Frita ; фото Фриты
1A2D ; BromideNpcNmlShp12 ; Muffy's photo ; フリルのしゃしん ; 彭澎的照片 ; 彭澎的照片 ; 프릴의 사진 ; photo de Charlène ; Foto von Marion ; foto de Muaré ; foto di Morena ; foto van Muffy ; фото Маффи
1A2E ; BromideNpcNmlShp13 ; Pietro's photo ; ジュペッティのしゃしん ; 皮耶羅的照片 ; 皮耶罗的照片 ; 피엘의 사진 ; photo de Pietro ; Foto von Pietro ; foto de Kikolor ; foto di Giulivo ; foto van Pietro ; фото Пьетро
1A2F ; BromideNpcNmlSqu00 ; Peanut's photo ; ももこのしゃしん ; 小桃的照片 ; 小桃的照片 ; 핑키의 사진 ; photo de Rachida ; Foto von Paulina ; foto de Belinda ; foto di Rachele ; foto van Peanut ; фото Пинат
1A30 ; BromideNpcNmlBul00 ; Angus's photo ; セルバンテスのしゃしん ; 施萬德的照片 ; 施万德的照片 ; 반데스의 사진 ; photo d'Angus ; Foto von Angus ; foto de Aliste ; foto di Angus ; foto van Angus ; фото Ангуса
1A31 ; BromideNpcNmlSqu01 ; Blaire's photo ; シルエットのしゃしん ; 小影的照片 ; 小影的照片 ; 실루엣의 사진 ; photo de Cachou ; Foto von Klara ; foto de Azabache ; foto di Ghianda ; foto van Blaire ; фото Блер
1A32 ; BromideNpcNmlSqu02 ; Filbert's photo ; リッキーのしゃしん ; 瑞奇的照片 ; 瑞奇的照片 ; 리키의 사진 ; photo de Filibert ; Foto von Felix ; foto de Filberto ; foto di Scriccio ; foto van Filbert ; фото Филберта
1A33 ; BromideNpcNmlSqu03 ; Pecan's photo ; レベッカのしゃしん ; 雷貝嘉的照片 ; 雷贝嘉的照片 ; 레베카의 사진 ; photo de Pécan ; Foto von Noisette ; foto de Camila ; foto di Nocina ; foto van Pecan ; фото Пекан
1A34 ; BromideNpcNmlSqu04 ; Nibbles's photo ; ガリガリのしゃしん ; 咬咬的照片 ; 咬咬的照片 ; 그리미의 사진 ; photo de Lola ; Foto von Knuspi ; foto de Dentina ; foto di Rododea ; foto van Nibbles ; фото Ниблз
1A35 ; BromideNpcNmlSqu05 ; Agent S's photo ; ２ごうのしゃしん ; 阿二的照片 ; 阿二的照片 ; 2호의 사진 ; photo de Ninjette ; Foto von Karin ; foto de Fardilia ; foto di Agente S ; foto van Agent S ; фото Агента С
1A36 ; BromideNpcNmlSqu06 ; Caroline's photo ; キャロラインのしゃしん ; 賈蘿琳的照片 ; 贾萝琳的照片 ; 캐롤라인의 사진 ; photo d'Isabelle ; Foto von Ricarda ; foto de Mariló ; foto di Carolina ; foto van Caroline ; фото Каролины
1A37 ; BromideNpcNmlSqu07 ; Sally's photo ; ララミーのしゃしん ; 拉拉米的照片 ; 拉拉米的照片 ; 라라미의 사진 ; photo de Damia ; Foto von Hanne ; foto de Praliné ; foto di Rossella ; foto van Sally ; фото Салли
